rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
5,0,perfectly_linear,256,,False,text,0.9455789447376663,0.026173035488074526,90.71,90.71365248226951,0.0,141
5,0,perfectly_linear,512,,False,text,0.9426982634155753,0.027424643007598264,89.74,89.73847517730496,0.7092198581560284,141
5,2,nonlinearity_two,1024,,False,text,0.7246267451908693,0.04896827873281375,58.5,58.499556737588655,0.0,141
5,2,nonlinearity_two,128,,False,text,0.7234877030261032,0.0446696824017819,58.49,58.48847517730496,0.0,141
5,2,nonlinearity_two,256,,False,text,0.726348112234204,0.047519412937038125,58.34,58.34441489361702,0.0,141
5,2,nonlinearity_two,512,,False,text,0.725771292809556,0.05007130811988116,58.57,58.56604609929078,0.0,141
5,4,default_sbox,1024,,False,text,0.7132559699680092,0.04971500755866905,54.5,54.4991134751773,0.0,141
5,4,default_sbox,128,,False,text,0.712896692595414,0.050334689273960176,54.3,54.29964539007092,0.0,141
5,4,default_sbox,256,,False,text,0.7088455770406603,0.0502731399839313,53.41,53.413120567375884,0.0,141
5,4,default_sbox,512,,False,text,0.7085337744934723,0.05074460523086488,54.02,54.02260638297872,0.0,141
6,0,perfectly_linear,1024,,False,text,0.9332074634152484,0.02690621722211357,87.2,87.20079787234043,0.0,141
6,0,perfectly_linear,128,,False,text,0.9348846572767049,0.026815364234978694,87.78,87.7770390070922,0.7092198581560284,141
6,0,perfectly_linear,256,,False,text,0.9332186407846994,0.029126923625187366,87.42,87.42242907801419,0.0,141
6,0,perfectly_linear,512,,False,text,0.9311078995479322,0.028674792399439115,87.1,87.10106382978724,0.0,141
6,2,nonlinearity_two,1024,,False,text,0.7060952656022641,0.04300527970466907,53.16,53.15824468085106,0.0,141
6,2,nonlinearity_two,128,,False,text,0.7048836203841745,0.04109788013011302,51.83,51.828457446808514,0.0,141
6,2,nonlinearity_two,256,,False,text,0.706656494549369,0.04065961911247827,52.54,52.53767730496454,0.0,141
6,2,nonlinearity_two,512,,False,text,0.7013072066203733,0.04257422519573599,51.88,51.883865248226954,0.0,141
6,4,default_sbox,1024,,False,text,0.695068248768391,0.04749100763549317,49.53,49.534574468085104,0.0,141
6,4,default_sbox,128,,False,text,0.6937824078455573,0.04856712574612968,50.02,50.02216312056738,0.0,141
6,4,default_sbox,256,,False,text,0.6963030338050749,0.04768771850791876,50.39,50.38785460992908,0.0,141
6,4,default_sbox,512,,False,text,0.6944507902167998,0.049392653139363946,50.35,50.354609929078016,0.0,141
7,0,perfectly_linear,1024,,False,text,0.9258661926447812,0.029061073873197448,87.63,87.63297872340425,0.0,141
7,0,perfectly_linear,128,,False,text,0.9263491213416357,0.028294000807515787,87.94,87.94326241134752,0.0,141
7,0,perfectly_linear,256,,False,text,0.9238732589137079,0.029550286395659618,87.02,87.02349290780141,0.0,141
7,0,perfectly_linear,512,,False,text,0.9260427897619249,0.026460856527805873,87.42,87.42242907801419,0.0,141
7,2,nonlinearity_two,1024,,False,text,0.7060652768638332,0.04154215445770994,51.71,51.70656028368794,0.0,141
7,2,nonlinearity_two,128,,False,text,0.7053524301034703,0.04105502468755197,51.88,51.89494680851064,0.0,141
7,2,nonlinearity_two,256,,False,text,0.7038055595780991,0.041871210118041374,50.89,50.88652482269504,0.0,141
7,2,nonlinearity_two,512,,False,text,0.705591156862888,0.042072963881986405,51.25,51.25221631205674,0.0,141
7,4,default_sbox,1024,,False,text,0.7056983051475143,0.045273103296709374,50.28,50.2770390070922,0.0,141
7,4,default_sbox,128,,False,text,0.7037017306131216,0.045460353976485714,50.29,50.288120567375884,0.0,141
7,4,default_sbox,256,,False,text,0.7054792466435642,0.04547234243083597,49.12,49.124556737588655,0.0,141
7,4,default_sbox,512,,False,text,0.7057307268349318,0.04532229870231815,50.25,50.25487588652482,0.0,141
8,0,perfectly_linear,1024,,False,text,0.914619153814477,0.03241015147168355,86.47,86.46941489361703,0.7092198581560284,141
8,0,perfectly_linear,128,,False,text,0.9167293898294536,0.031013817303814847,87.16,87.15647163120568,0.0,141
8,0,perfectly_linear,256,,False,text,0.9158753111404098,0.030378801154357496,86.8,86.80186170212765,0.0,141
8,0,perfectly_linear,512,,False,text,0.9151348279428814,0.03015568439684625,86.71,86.71320921985816,0.7092198581560284,141
8,2,nonlinearity_two,1024,,False,text,0.7106420735712774,0.04489077236211346,50.62,50.62056737588652,0.0,141
8,2,nonlinearity_two,128,,False,text,0.7103437883246667,0.044962989994493704,50.79,50.78679078014184,0.0,141
8,2,nonlinearity_two,256,,False,text,0.7093158432619746,0.04481757452112186,50.38,50.376773049645394,0.0,141
8,2,nonlinearity_two,512,,False,text,0.7106183801471465,0.04490005555860974,50.88,50.875443262411345,0.0,141
8,4,default_sbox,1024,,False,text,0.7020669126131037,0.046989902322817564,50.09,50.0886524822695,0.0,141
8,4,default_sbox,128,,False,text,0.7015875766950401,0.04728324504529782,50.99,50.986258865248224,0.0,141
8,4,default_sbox,256,,False,text,0.7019026660304705,0.04721131608660363,50.47,50.465425531914896,0.0,141
8,4,default_sbox,512,,False,text,0.7020887673312031,0.04698187486139184,50.18,50.177304964539005,0.0,141
9,0,perfectly_linear,1024,,False,text,0.9140558368143181,0.02919742367404699,86.6,86.60239361702128,0.7092198581560284,141
9,0,perfectly_linear,128,,False,text,0.9138045423329422,0.02932686244636448,86.39,86.3918439716312,0.0,141
9,0,perfectly_linear,256,,False,text,0.9121063306409786,0.030481965393101502,86.26,86.25886524822695,0.0,141
9,0,perfectly_linear,512,,False,text,0.9050644160866986,0.027961874843299667,85.58,85.58289007092199,0.0,141
9,2,nonlinearity_two,1024,,False,text,0.7050181741870958,0.04646988276119311,49.69,49.68971631205674,0.0,141
9,2,nonlinearity_two,128,,False,text,0.7047955868160389,0.046627170048213346,50.28,50.2770390070922,0.0,141
9,2,nonlinearity_two,256,,False,text,0.7040501957160925,0.04661183699239669,49.66,49.656471631205676,0.0,141
9,2,nonlinearity_two,512,,False,text,0.7050154078207107,0.04649419456237246,49.86,49.85593971631206,0.0,141
